Subsegment;IDSubsegment;VehFam;Segment;SizeClass;Technology;EmissionConcept;EmissionConcept(aggreg)
Moped <=50cc (v<30) without cat;939000;MC;Moped <=50cc (v<30kmh);<=50cc;petrol (2S);moped v<30kmh without cat;Moped-EU0
Moped <=50cc (v<30) with cat / FAV4;939001;MC;Moped <=50cc (v<30kmh);<=50cc;petrol (2S);moped v<30kmh with cat;Moped-EU1
Moped <=50cc (v<30) EU2;939002;MC;Moped <=50cc (v<30kmh);<=50cc;petrol (2S);moped v<30kmh v<30 EU2;Moped-EU2
Moped <=50cc (v<30) EU3;939003;MC;Moped <=50cc (v<30kmh);<=50cc;petrol (2S);moped v<30kmh v<30 EU3;Moped-EU3
Moped <=50cc (v<30) EU4;939004;MC;Moped <=50cc (v<30kmh);<=50cc;petrol (2S);moped v<30kmh v<30 EU4;Moped-EU4
Moped <=50cc (v<30) EU5;939005;MC;Moped <=50cc (v<30kmh);<=50cc;petrol (2S);moped v<30kmh v<30 EU5;Moped-EU5
Moped <=50cc preEuro;939100;MC;Moped <=50cc (v<50kmh);<=50cc;petrol (2S);SMC preEuro;SMC Euro-0
Moped <=50cc Euro-1;939110;MC;Moped <=50cc (v<50kmh);<=50cc;petrol (2S);SMC Euro-1;SMC Euro-1
Moped <=50cc Euro-2;939120;MC;Moped <=50cc (v<50kmh);<=50cc;petrol (2S);SMC Euro-2;SMC Euro-2
Moped <=50cc Euro-3;939130;MC;Moped <=50cc (v<50kmh);<=50cc;petrol (2S);SMC Euro-3;SMC Euro-3
Moped <=50cc Euro-4;939140;MC;Moped <=50cc (v<50kmh);<=50cc;petrol (2S);SMC Euro-4;SMC Euro-4
Moped <=50cc Euro-5;939150;MC;Moped <=50cc (v<50kmh);<=50cc;petrol (2S);SMC Euro-5;SMC Euro-5
MC 4S <=250cc preEuro;919200;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-preEuro;MC 4S Euro-0
MC 4S <=250cc Euro-1;919210;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-Euro-1;MC 4S Euro-1
MC 4S <=250cc Euro-2;919220;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-Euro-2;MC 4S Euro-2
MC 4S <=250cc Euro-3;919230;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-Euro-3;MC 4S Euro-3
MC 4S <=250cc Euro-4;919240;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-Euro-4;MC 4S Euro-4
MC 4S <=250cc Euro-5;919250;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-Euro-5;MC 4S Euro-5
MC 4S <=250cc Euro-6;919260;MC;MC 4S <=250cc;<=250cc;petrol (4S);MC 4S-Euro-6;MC 4S Euro-6
MC 4S >250cc preEuro;919600;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-preEuro;MC 4S Euro-0
MC 4S >250cc Euro-1;919610;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-Euro-1;MC 4S Euro-1
MC 4S >250cc Euro-2;919620;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-Euro-2;MC 4S Euro-2
MC 4S >250cc Euro-3;919630;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-Euro-3;MC 4S Euro-3
MC 4S >250cc Euro-4;919640;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-Euro-4;MC 4S Euro-4
MC 4S >250cc Euro-5;919650;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-Euro-5;MC 4S Euro-5
MC 4S >250cc Euro-6;919660;MC;MC 4S >250cc;>250cc;petrol (4S);MC 4S-Euro-6;MC 4S Euro-6
MC BEV;951501;MC;MC BEV;not specified;electricity;MC electric;MC Electric
MC 2S <=250cc preEuro;939600;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-preEuro;MC-2S Euro-0
MC 2S <=250cc Euro-1;939610;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-Euro-1;MC-2S Euro-1
MC 2S <=250cc Euro-2;939620;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-Euro-2;MC-2S Euro-2
MC 2S <=250cc Euro-3;939630;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-Euro-3;MC-2S Euro-3
MC 2S <=250cc Euro-4;939640;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-Euro-4;MC-2S Euro-4
MC 2S <=250cc Euro-5;939650;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-Euro-5;MC-2S Euro-5
MC 2S <=250cc Euro-6;939660;MC;MC 2S <=250cc;<=250cc;petrol (2S);MC 2S-Euro-6;MC-2S Euro-6
eBike;951201;MC;eBike;not specified;electricity;MC electric;MC Electric
eScooter;951401;MC;eScooter;not specified;electricity;MC electric;MC Electric
